"Date","Price","Open","High","Low","Vol.","Change %"
"08-05-2025","1,316.00","1,316.00","1,316.00","1,316.00","","-4.22%"
"07-05-2025","1,374.00","1,374.00","1,374.00","1,374.00","","-2.28%"
"06-05-2025","1,406.00","1,406.00","1,406.00","1,406.00","","-1.06%"
"02-05-2025","1,421.00","1,421.00","1,421.00","1,421.00","","0.71%"
"01-05-2025","1,411.00","1,411.00","1,411.00","1,411.00","","1.80%"
"30-04-2025","1,386.00","1,386.00","1,386.00","1,386.00","","-0.86%"
"29-04-2025","1,398.00","1,398.00","1,398.00","1,398.00","","-0.36%"
"28-04-2025","1,403.00","1,403.00","1,403.00","1,403.00","","2.18%"
"25-04-2025","1,373.00","1,373.00","1,373.00","1,373.00","","1.48%"
"24-04-2025","1,353.00","1,353.00","1,353.00","1,353.00","","4.08%"
"23-04-2025","1,300.00","1,300.00","1,300.00","1,300.00","","3.09%"
"22-04-2025","1,261.00","1,261.00","1,261.00","1,261.00","","0.00%"
"17-04-2025","1,261.00","1,261.00","1,261.00","1,261.00","","1.61%"
"16-04-2025","1,241.00","1,241.00","1,241.00","1,241.00","","-1.74%"
"15-04-2025","1,263.00","1,263.00","1,263.00","1,263.00","","-1.48%"
"14-04-2025","1,282.00","1,282.00","1,282.00","1,282.00","","0.63%"
"11-04-2025","1,274.00","1,274.00","1,274.00","1,274.00","","0.39%"
"10-04-2025","1,269.00","1,269.00","1,269.00","1,269.00","","0.79%"
"09-04-2025","1,259.00","1,259.00","1,259.00","1,259.00","","-6.18%"
"08-04-2025","1,342.00","1,342.00","1,342.00","1,342.00","","-4.21%"
"07-04-2025","1,401.00","1,401.00","1,401.00","1,401.00","","-5.91%"
"04-04-2025","1,489.00","1,489.00","1,489.00","1,489.00","","-3.31%"
